,Titles,Abstracts,Production,Production_abstract_score,Production_title_score,Mean_product,Material,Material_abstract_score,Material_title_score,Mean_material
62,Metal Additive Manufacturing A Review of Mechanical Properties,"This article reviews published data on the mechanical properties of additively manufactured metallic materials. The additive manufacturing techniques utilized to generate samples covered in this review include powder bed fusion (e.g., EBM, SLM, DMLS) and directed energy deposition (e.g., LENS, EBF3). Although only a limited number of metallic alloy systems are currently available for additive manufacturing (e.g., Ti-6Al-4V, TiAl, stainlesssteel,Inconel625718,andAl-Si-10Mg),thebulkofthepublished mechanicalpropertiesinformationhasbeengeneratedonTi-6Al-4V.However,summarytablesforpublishedmechanicalpropertiesandorkeyﬁgures areincludedforeachofthealloyslistedabove,groupedbytheadditivetechniqueusedtogeneratethedata.Publishedvaluesformechanicalproperties obtained from hardness, tensioncompression, fracture toughness, fatigue crack growth, and high cycle fatigue are included for as-built, heat-treated, and or HIP conditions,when available.The effects of test orientation build direction on properties,when available,are also provided,along with discussion of the potential source(s)(e.g.,texture,microstructurechanges,defects) of anisotropy in properties. Recommendations for additional work are also provided.
",SLM or DMLS,0.58,0.7,0.6399999999999999,Metal,0.51,0.67,0.5900000000000001
63,Metal Fabrication by Additive Manufacturing Using Laser and Electron Beam Melting Technologies,"Selective laser melting (SLM) and electron beam melting (EBM) are relatively new rapid, additive manufacturing technologies which can allow for the fabrication of complex, multi-functional metal or alloy monoliths by CAD-directed, selective melting of precursor powder beds. By altering the beam parameters and scan strategies, new and unusual, even non-equilibrium microstructures can be produced; including controlled microstructural architectures which ideally extend the contemporary materials science and engineering paradigm relating structure-properties-processing-performance. In this study, comparative examples for SLM and EBM fabricated components from pre-alloyed, atomized precursor powders are presented. These include Cu, Ti– 6Al–4V, alloy 625 (a Ni-base superalloy), a Co-base superalloy, and 17-4 PH stainless steel. These systems are characterized by optical metallography, scanning and transmission electron microscopy, and X-ray diffraction.
",SLM or DMLS,0.48,0.72,0.6,Polymer,0.45,0.5,0.475
64,Microstructure and Mechanical Properties of 1,"The differences of microstructure and mechanical properties of die steel
(1.2709) prepared by selection of laser melting (SLM) process and traditional
casting-forging process were studied. Sample A was prepared by SLM process.
Sample B was prepared by mixing process (half volume using conventional casting—
half volume of forging process application SLM). Sample C was prepared by traditional
casting–forging process. Three sets of samples were subjected to the same
process of solution treatment and aging treatment. The microstructures and
mechanical properties of the three groups were studied. The results showed that the
microstructure of sample A was a homogeneous and dense plate-like martensite
structure, and they were different in phase distribution. The microstructure observation
of sample B indicated that the part of the conventional casting-forging process
consisted of martensite and carbide particles, but the SLM process consisted of a
uniformly distributed elongated martensite structure. In the region of different
forming process, there was a transition region with a width of 40 lm. The transition
zone was relatively loose and the defects were relatively more. The microstructure of
conventional casting–forging process 1.2709 die steel samples was mainly composed
of lath martensite and carbide particles. In addition, the relative densities of the three
sets of samples were close to 100%. The impact toughness values aKV, aKU and the
impact absorbing energy KV2, KU2 of sample B, sample A and sample C showed an
increasing trend, and the mechanical property difference was less than 15%. It is
proved that the mechanical properties of 1.2709 die steel workpiece prepared by SLM
process can meet the needs of engineering application.",SLM or DMLS,0.49,0.6,0.5449999999999999,Ceramic,0.37,0.47,0.42
65,Microstructure of g-titanium aluminide processed by selective laser,"The present study deals with a b-solidifying titanium aluminide processed by Selective Laser Melting
using prealloyed g-TiAl powder. In particular the effects of energy density and preheat temperature on
chemical composition and microstructure were investigated to acquire suitable process parameters.
Tensile tests carried out at room temperature and 850 (cid:1)C demonstrate that strengths in the range of
conventionally produced material can be achieved.",SLM or DMLS,0.55,0.82,0.685,Metal,0.44,0.56,0.5
66,Microstructures and mechanical properties of electron beam-rapid manufactured Ti–6Al–4V biomedical prototypes compared to wrought Ti–6Al–4V,"This study represents an exploratory characterization and comparison of electron-beam
melted (EBM) or rapid manufacturing (RM) of Ti–6Al–4V components (from nominal 30 μm
diameter powder) with wrought products. Acicular α and associated β microstructures
observed by optical metallography and electron microscopy (SEM and TEM) are compared
along with corresponding tensile test and hardness data; including the initial powder
particles where the Vickers microindentation hardness averaged 5.0 GPa in comparison
with the fully dense, EB manufactured product with an average microindentation hardness
ranging from 3.6 to 3.9 GPa. This compared with wrought products where the Vickers
microindentation hardness averaged 4.0 GPa. Values of UTS for the EBM samples averaged
1.18 GPa for elongations ranging from 16 to 25%. Biomaterials/biomedical applications of
EBM prototypes in direct prosthesis or implant manufacturing from CT or MRI data are
discussed in the context of this work, especially prospects for tailoring physical properties
through EB control to achieve customized and optimized implant and prosthetic products
direct from CT-scans.",SLM or DMLS,0.4,0.55,0.47500000000000003,Polymer,0.3,0.41,0.355
67,Modeling and optimization of direct metal laser sintering process,"Direct metal laser sintering (DMLS) is a novel class
of rapid manufacturing process that can fabricate functional
parts of any complexity. However, the DMLS process takes
almost 6–12 h to build parts of even small-moderate size.
Reducing the build time of the parts is the key to success of
the DMLS process at commercial level. A common solution
to reduce the part build time is to sinter the parts with maximum
allowable layer thickness. However, doing so will make
staircase effect more prominent and lead to the poor surface
accuracy of the part. In this paper, a bi-criteria-based optimization
approach is presented to address this issue. The subprocesses,
namely, part orientation, layer thickness identification,
and laser scanning directions, are optimized with an aim
to build the parts with: (a) minimum amount of time and (b)
minimum surface inaccuracy. In addition, the material shrinkage
is also incorporated in the proposed model. Parts with
varying complexities are analyzed to elucidate the applicability
of proposed approach. Comparisons with traditional slicing
approaches are also made.",FDM or FFF or EAM,0.46,0.66,0.56,Polymer,0.32,0.42,0.37
68,Modeling of Multiple Pore Ceramic Materials Fabricated Via Fused Deposition Process,"Porous ceramic materials are used in molten metal filters, light weight core for sandwich panels, radiant burners, catalyst supports, sensors and bone grafts [1–3]. Theoretical and experimental characterization of porous materials are not new and several theories have already been postulated to characterize the mechanical strength of polycrystalline porous ceramics [4–8]. Successful models are available for low-density (,0.3) porous materials such as cellular solids [3]. With regards to high-density (.0.3) porous materials, it has been claimed that although there have been several studies to understand the effects of porosity on mechanical strength, no thorough studies on this problem have been conducted to quantify effect of stress concentrations on mechanical behavior of a porous solid [9]. Three sets of arguments have been presented towards this discussion and they are: (a) the variable nature of stress concentrations for isolated pores, (b) the interactive nature of stress concentrations with increasing porosity so that pores were no longer isolated and (c) interaction of pores and cracks. From theory of elasticity point of view, it has been expressed that exact solutions for multiple pore solutions are difficult to obtain [10]. Some solutions exist for calculating stress concentrations and microfracturing patterns for pores in brittle solids and for evaluating cracks and circular holes in 2-D linear elastic media [11,12]. These elasticity solutions along with the above theories do not clearly show how they could be applied to quantitatively model the mechanical strength degradation behavior of porous solids. There are also many equations cited in literature that have been used to curve fit experimental failure results of porous solids. They are mostly based on empirical constants that are related to the volume fraction porosity and applicable only for certain materials processed under specific conditions. Recently, it has been observed that changes in pore geometry parameters results in different failure strengths for same volume fraction porosities",SLM or DMLS,0.5,0.65,0.575,Polymer,0.48,0.44,0.45999999999999996
69,Numerical study on the effects of hierarchical wavy interface morphology on fracture toughness,"In this paper,we investigate the effects of the hierarchical wavy morphology of an interface on the apparent interfacial fracture toughness. First,the inﬂuence of two-level hierarchical sinusoidal geometry under mode-I and mode-II far-ﬁeld loadings on crack propagation behavior is numerically studied by using a cohesive zone model.Second,the effect so finter facial friction on the mode-II effective fracture toughness are examined. The results show that an interface with a hierarchical sinusoidal structure has relatively higher fracture resistance ability, especially for mode-II cracks, than an interface with a ﬂat or pure sinusoidal interface. Moreover, it is found that interfacial friction notably enhances the mode-II fracture toughness of a hierarchical sinusoidal interfacial crack. This study is helpful not only for understanding the superior mechanical properties of some biological materials, but also for optimal design of advanced composites with enhanced fracture toughness",FDM or FFF or EAM,0.53,0.53,0.53,Polymer,0.38,0.43,0.405
70,On Surface Losses in Direct Metal Laser Sintering Printed Millimeter and Submillimeter Waveguides,"Different lengths of WR3 (220–330 GHz) and WR10 (75–110 GHz)
waveguides are fabricated through direct metal laser sintering (DMLS). The losses
in these waveguides are measured and modelled using the Huray surface roughness
model. The losses in WR3 are around 0.3 dB/mm and in WR10 0.05 dB/mm. The
Huray equation model is accounting relatively good for the attenuation in the WR10
waveguide but deviates more in the WR3 waveguide. The model is compared to finite
element simulations of the losses assuming an approximate surface structure similar
to the resulting one from the DMLS process.",FDM or FFF or EAM,0.5,0.89,0.6950000000000001,Polymer,0.33,0.7,0.515
71,Optimization of fused deposition modeling process parameters a review of current research and future prospects,"Fused deposition modeling (FDM) is one of the
most popular additive manufacturing technologies for
various engineering applications. FDM process has been
introduced commercially in early 1990s by Stratasys Inc.,
USA. The quality of FDM processed parts mainly depends
on careful selection of process variables. Thus, identification
of the FDM process parameters that significantly affect
the quality of FDM processed parts is important. In recent
years, researchers have explored a number of ways to improve
the mechanical properties and part quality using
various experimental design techniques and concepts. This
article aims to review the research carried out so far in
determining and optimizing the process parameters of the
FDM process. Several statistical designs of experiments
and optimization techniques used for the determination of
optimum process parameters have been examined. The
trends for future FDM research in this area are described.",FDM or FFF or EAM,0.59,0.53,0.56,Polymer,0.38,0.36,0.37
72,Optimizing the rapid prototyping process by integrating the Taguchi method with the Gray relational analysis,"Purpose – The following research seeks to focus on optimizing the fused deposition modeling (FDM) process of RP systems.
Design/methodology/approach – Early stages of this study are based on the Taguchi method in establishing rapid prototyping building factors and
their various levels. The ultimate tensile strength, dimension accuracy and surface roughness (SR), are analyzed. Through analysis of variance (ANOVA)
and contribution approximation, significant building factors of each quality characteristic and optimal factors level combinations of each best quality
characteristic are obtained. The main steps are setting the weight for each quality characteristic of the previous Taguchi method, obtaining the
estimated multiple building quality characteristics through integrating the Gray theory, and obtaining a set of optimal building factors. Finally, the result
is verified by the Gray theory and the technique for order preference by similarity to ideal solution (TOPSIS) evaluation method.
Findings – It is proven that optimal multiple quality characteristic combinations of building factors can be obtained by integrating the Gray theory and
the Taguchi method. The result is further verified by the TOPSIS evaluation method, showing that the model can acquire multiple building quality
characteristics of rapid prototyping.
Research limitations/implications – The method is only applied to FDM in this paper but a similar approach could be applied to other RP systems.
Practical implications – RP system use is limited by low product strength, bad SR, and the high dimension errors. This research demonstrates how
optimizing the FDM process can improve this situation.
Originality/value – The originality of this paper lies in optimizing the rapid prototyping process by integrating the Taguchi method with the Gray
relational analysis.",SLM or DMLS,0.52,0.35,0.435,Metal,0.41,0.29,0.35
73,Parametric analysis of the selective laser melting process,"Selective laser sintering/melting (SLS/SLM) technology is used for manufacturing net-shaped objects from commercial Inox 904L powder with
!20 mm particle size. Experiments were carried out on PHENIX-PM100 machine equipped with a 50 W cw fiber laser. Powder is layered by a
roller over the surface of a 100 mm-diameter build cylinder. Optimal parameters of layer thickness and power input per unit speed for SLM were
determined. It was shown that the greater the value of P/V ratio is, the larger is the remelted line (called as ‘‘vector’’). Influence of the shifting of
consecutive single vectors on the process of forming the first layer was studied. Different strategies for forming objects with less than 1 mm-sized
inner structures were tested, as, for example, forming a 20 mm "" 20 mm "" 5 mm box with 140 mm-thick inner compartment walls.",SLM or DMLS,0.52,0.78,0.65,Metal,0.46,0.42,0.44
74,Parametric appraisal of mechanical property of fused deposition modelling processed parts,"Fused deposit ion modelling(FDM) is a fast growing rapid prototyping (RP) technology due to it s ability to build functional parts having complex geometrical shape in reasonable time period. The quality of built parts depends on many process variables. In this study, ﬁve important process parameters such as layer thickness, orientation, raster angle, raster width and air gap are considered. Their inﬂuence on three responses such as tensile, ﬂexural and impact strength of test specimen is studied. Experiments are conducted based on central composite design (CCD) in order to reduce experimental runs. Empirical models relating response and process parameters are developed. The validity of the models is tested using analysis of variance (ANOVA). Response surface plots for each response is analysed and optimal parameter setting for each response is determined.The major reason for weak strength may be attributed to distortion within or between the layers.Finally,concept of desirability function is used for maximizing all responses simultaneously",SLM or DMLS,0.49,0.87,0.6799999999999999,Polymer,0.38,0.49,0.435
75,Properties of Ti–6Al–4V non-stochastic lattice structures fabricated,"This paper addresses foams which are known as non-stochastic foams, lattice structures, or repeating open
cell structure foams. The paper reports on preliminary research involving the design and fabrication of
non-stochastic Ti–6Al–4V alloy structures using the electron beam melting (EBM) process. Non-stochastic
structures of different cell sizes and densities were investigated. The structures were tested in compression
and bending, and the results were compared to results from ﬁnite element analysis simulations. It was
shown that the build angle and the build orientation affect the properties of the lattice structures. The
average compressive strength of the lattice structures with a 10% relative density was 10 MPa, the ﬂexural
modulus was 200 MPa and the strength to density ration was 17. All the specimens were fabricated on the
EBM A2 machine using a melt speed of 180 mm/s and a beam current of 2 mA. Future applications and
FEA modeling were discussed in the paper.",FDM or FFF or EAM,0.59,0.56,0.575,Polymer,0.57,0.47,0.52
76,Review of additive manufacturing methods for high-performance ceramic materials,"Additive manufacturing (AM) has become a versatile and diversified technology that has made a huge difference in how things are
being manufactured. Substantial growth has been observed in the development of ceramic materials for AM processes. However,
ceramic parts manufactured by AM methods often exhibit deficiencies in mechanical properties and performance. Recent research
developments have included improvement of performance and mechanical properties by introducing a material preparation process
and additional post-processing techniques to improve the fabrication process. This paper contemplates and reviews the advancements
made in AM techniques to fabricate high-performance ceramic (HPC) materials, also known as advanced ceramics. AM
processes are classified as per ASTM standards and the technologies implemented are sub-listed. The principles, mechanical
properties, advantages, disadvantages, applications, and limitations of each technology are described in detail.",FDM or FFF or EAM,0.66,0.6,0.63,Ceramic,0.63,0.68,0.655
77,Scanning strategies for texture and anisotropy tailoring during selective laser melting of TiC_316L stainless steel nanocomposites,"
Selective laser melting (SLM) is a promising additive manufacturing technique that allows fabrication of
complex functional components via the selective layer-by-layer melting of powder bed particles using a
high-energy laser beam. This technique can allows the production of a wide range of novel high-
performance materials including metal matrix nanocomposites with unique microstructures and supe-
rior properties. In this study, the SLM process was used with various laser-scanning methods to fabricate
cylindrically shaped components from 316L stainless steel reinforced with 15 vol.% TiC nanoparticles. A
deep relationship between the SLM process and the microstructure and mechanical properties of the
resulting components was established to understand the inﬂuence of the selected scanning strategy on
the densiﬁcation, solidiﬁcation microstructure, texture, and anisotropy. It was found that the building
strategy has a signiﬁcant inﬂuence on the build densiﬁcation, with the highest densiﬁcation obtained
using a cross-hatched scanning strategy. The resulting bimodal grain structure was related to the heat
ﬂowing from the solidifying melt pool (i.e., the developed microstructure depends on the local heat
transfer conditions); the TiC content in the fabricated nanocomposite was also varied according to the
applied scanning method. The relatively strong crystallographic textures along the building and scanning
directions can be transformed into weak ones, and the mechanical properties of the produced compo-
nents can be made nearly isotropic by rotating the scanning vector inside or between the created layers
by 90(cid:1) (known as alternate and cross hatched scanning strategies, respectively) using a single pass of the
laser beam. The obtained results indicate that the utilized laser-scanning strategies allowed tailoring of
the densiﬁcation level, solidiﬁcation microstructure, crystallographic texture, and anisotropy of me-
chanical properties the fabricated parts. Hence, SLM can be successfully used for manufacturing 316L
stainless steel nanocomposite parts with a high degree of densiﬁcation and controllable texture.",SLM or DMLS,0.62,0.6,0.61,Ceramic,0.49,0.59,0.54
78,"Selective laser melting of an equiatomic CoCrFeMnNi high-entropy alloy Processability, non-equilibrium microstructure and mechanical property","
The selective laser melting (SLM) of an equiatomic CoCrFeMnNi high-entropy alloy (HEA) powder was
studied, with emphasis on its non-equilibrium microstructural evolution and mechanical properties. The
printed sample density increases gradually with increasing laser energy density and then decreases at an
over-high laser energy density. The microstructure of SLM printed HEA exhibits a large number dislo-
cation pile-ups and lattice distortion. Of particular intrigue are the existence of nanotwins and tetragonal
s phase in SLM printed HEA; such nanotwins and s phase have never been observed in either cast or
deformed HEA with true strain below 3.7%. The grain reﬁnement by rapid solidiﬁcation and s phase
synergistically improve the mechanical properties, as compared with conventionally solidiﬁed HEA. Hot
isostatic pressing (HIP) was performed to improve the densiﬁcation, yielding the increase of tensile
strength from 601 MPa of SLM printed sample to 649 MPa after HIP.",SLM or DMLS,0.49,0.66,0.575,Polymer,0.39,0.49,0.44
79,Selective laser melting of iron-based powder,"Selective laser melting (SLM) is driven by the need to process near full density objects with mechanical properties comparable to those
of bulk materials. During the process the powder particles are completely molten by the laser beam. The resulting high density allows
avoiding lengthy post-processing as required with selective laser sintering (SLS) of metal powders. Unlike SLS, SLM is more difficult to
control. Because of the large energy input of the laser beam and the complete melting of particles problems like balling, residual stresses
and deformation occur. This paper will describe SLM applied to a mixture of different types of particles (Fe, Ni, Cu and Fe3P) specially
developed for SLM. The different appearing phenomenons are discussed and the process optimization is described. The latter includes
an appropriate process parameter adjustment and the application of special scanning strategies. Resulting parts are characterized by their
microstructure, density and mechanical properties.",SLM or DMLS,0.39,0.77,0.5800000000000001,Polymer,0.4,0.43,0.41500000000000004
80,"Selective laser melting of stainless steel and alumina composite Experimental and simulation studies on processing parameters, microstructure and mechanical properties","Metal matrix composites (MMC) ﬁnd their uses as high performance materials. The selective laser melting (SLM)
of a 316L stainless steel and Al2O3 MMC is presented in this paper. Agglomerate Al2O3 particles had shown to be
an adequate powder choice with uniform dispersions in the resultant prints. Relative density, phase, microstruc-
ture and mechanical properties of all 1-, 2-, 3-wt% doped products were carefully analyzed. Finite element model-
ing model was developed to study the associated multi-physics phenomena with high efﬁciency for process
parameter optimization. It is found that the change in SLM temperature proﬁle with Al2O3 addition is mainly
due to the change in optical properties rather than thermal. Hence, both simulation and experimentation re-
vealed that higher laser energy input is needed for optimized melting. In addition, cellular dendrites were
found to coarsen with increasing Al2O3 addition due to the decreased cooling rate. With hard particle strength-
ening effects, all samples showed improved hardness with 3-wt% up to 298 HV and 1-wt% samples showing
much improved yielding and tensile stresses of 579 and 662 MPa from 316L. Corresponding microlattice built
this way demonstrated a 30 and 23% increase in speciﬁc strength and energy absorption from that of 316L too.",SLM or DMLS,0.6,0.66,0.63,Metal,0.44,0.61,0.525
81,Short ﬁber reinforced composites for fused deposition modeling,"Addressed in this paper are critical material property issues related to the short fiber reinforced composite used in rapid
prototyping and manufacturing (RP&M). Acrylonitrile–butadiene–styrene (ABS) copolymer has been a popular choice of
material used in fused deposition modeling (FDM), a commonly used RP&M process. However, conventional ABS polymers in
the filamentary form for FDM are known to be of low strength and hardness. In order to overcome this deficiency, ABS was
modified by incorporating several different property modifiers including the short glass fiber, plasticizer, and compatibilizer. Glass
fibers were found to significantly improve the strength of an ABS filament at the expense of reduced flexibility and handleability.
The latter two properties of glass fiber reinforced ABS filaments were improved by adding a small amount of plasticizer and
compatibilizer. The resulting composite filament, prepared by extrusion, was found to work well with a FDM machine.",FDM or FFF or EAM,0.62,0.58,0.6,Polymer,0.54,0.35,0.445
82,Sintering of 3D-Printed Glass HAp Composites,"We report the sintering of 3D-printed composites of 13-93 bioactive glass and hydroxyapatite (HAp) powders. The sintering process is characterized on conventionally produced powder compacts with varying HAp content. A numeric approximation of the densiﬁcation kinetics is then obtained on the basis of Frenkel, Mackenzie–Shuttleworth, and Einstein–Roscoe models, and optimized sintering conditions for 3D-printed structures are derived. Fully isotropic sintering of complex cellular composites is obtained by continuous heating to 750°C at a rate of 2 K/min for a HAp content of 40 wt%. The approach can readily be generalized for printing and sintering of similar glass-ceramic composites",SLM or DMLS,0.68,0.72,0.7,Metal,0.48,0.63,0.5549999999999999
83,SLM additive manufacturing of Alloy 718 Effect of process parameters on microstructure and properties,"Selective laser melting (SLM) is one type of the Additive Manufacturing (AM) processes as a novel technique to fabricate 3D components in a layer-upon-layer style with less need to post-processing. In the SLM process, samples can be designed by computer-aided design (CAD) software, and produced in any shape. Compared to other AM processes, SLM method presents several advantages, one of which is manufacturing of complex-shape samples with very high accuracy. In SLM process, the microstructure characteristics and mechanical properties can be controlled by changing process parameters. Therefore, SLM process can be used to manufacture many industrial components, e.g. combustion chambers, medical components, and nuclear reactors.  In the present survey, SLM process with different process parameters is used to create 25 cubic samples from Alloy 718 with 10×10×10 mm3 dimension. The as-fabricated samples are cut into two subsets in order to study the influence of two main process parameters including point distance and laser exposure time on the microstructure and properties. The samples are hot mounted to examine the normal reference planes (parallel to build direction). Microstructural characterization has been carried out using Optical Microscopy (OM), Scanning Electron Microscopy (SEM), Energy Dispersive spectroscopy (EDS) and X-ray Diffraction (XRD). Microstructure in the as-fabricated section of samples illustrated highly dendritic growth parallel to build direction in the normal reference planes. The microstructures present some changes within the build direction; the top layers show coarser columnar dendrites compare to the bottom layers with slimmer columnar dendrites owing to a higher cooling rate. SEM/EDS analysis show the presence of some fine phases e.g., Laves and metallic carbides in the γ-matrix and verify the segregation of Nb element in all 25 test samples due to high cooling rate. The porosity content of samples is measured using two methods of image analysis and point counting. The effect of laser energy input, which comprises the effect of laser exposure time and point distance is investigated on the total porosity (round and irregular pores). It is observed that the round porosity content is lower than irregular porosity and the minimum amount of total porosity is around 0.07 vol. % gained at laser energy input of about 265 J/mm3. Mechanical properties is represented by measuring the Micro-Vickers hardness (HV). The microhardness of as-fabricated samples shows a dependency on the laser energy input on the normal reference plane in all the samples. The average microhardness in the as-fabricated samples varies from 291 to 339 HV0.5. ",SLM or DMLS,0.44,0.52,0.48,Ceramic,0.35,0.54,0.445
84,Structural Ceramics by Fused Deposition of Ceramics,"Fused Deposition of Ceramics (FDC) is a SFF technique, based on FDMTM technology, for fabrication of advanced structural ceramics from powderlbinder filaments. In this study, in-situ reinforced (ISR) Si3N4 powder and polymer/wax based binder systems were used as filament material for FDC processing using a commercially available FDMTM system, 3D Modeler. Powderlbinder feedstocks were mixed using a torque rheometer and filaments were fabricated using a capillary rheometer and twin screw extruder. Green FDC components were built from these filaments and then characterized for inter-road and inter-layer bonding. Binder removal procedures were established for FDC green components to yield brown parts without distortion or shape change. Brown FDC parts were characterized for carbon residue, pore distribution and dimensional changes. Brown FDC parts were then sintered and the sintered density, microstructure, and shrinkage anisotropy were studied.
",FDM or FFF or EAM,0.54,0.69,0.615,Polymer,0.49,0.76,0.625
85,Study on 3D printing process of continuous carbon fiber reinforced shape memory polymer composites,"In this paper, shape memory polymer (SMP) and continuous carbon fibers (CCF) were utilized as raw materials to manufacture composites by means of 3D printing based on FDM. Various process parameters were systematically studied by the orthogonal experiment to find out the optimal process combination where interfaces and mechanical properties of printed composites specimens were treated as research objectives. The influence of each factor on the performance of the specimen was discussed. The results indicated that the mechanical properties were preferable when the printing temperature was 200°C, the printing speed was 4.5mm/s, the scanning pitch was 1.1 mm, and the ply stacking sequence was 0°. Furthermore, the fiber content had little effect on the shape memory performance of the polymer matrix. The rapid manufacture of shape memory carbon fiber composites has potential use in the field of aerospace",SLM or DMLS,0.61,0.67,0.64,Metal,0.53,0.52,0.525
86,Tailoring Selective Laser Melting Process Parameters for NiTi Implants,"Complex-shaped NiTi constructions become more and more essential for biomedical applications especially for dental or cranio-maxillofacial implants. The additive manufacturing method of selective laser melting allows realizing complex-shaped elements with predeﬁned porosity and three-dimensional micro-architecture directly out of the design data. We demonstrate that the intentional modiﬁcation of the applied energy during the SLM-process allows tailoring the transformation temperatures of NiTi entities within the entire construction. Differential scanning calorimetry, x-ray diffraction, and metallographic analysis were employed for the thermal and structural characterizations. In particular, the phase transformation temperatures, the related crystallographic phases, and the formed microstructures of SLM constructions were determined for a series of SLM-processing parameters. The SLM-NiTi exhibits pseudoelastic behavior. In this manner, the properties of NiTi implants can be tailored to build smart implants with pre-deﬁned microarchitecture and advanced performance.
",FDM or FFF or EAM,0.61,0.68,0.645,Polymer,0.41,0.51,0.45999999999999996
87,Tensile properties of processed FDM polycarbonate material,"Knowledge of the mechanical properties of parts processed by Fused Deposition Modelling (FDM) rapid prototyping process is essential for engineering applications of such parts as the mechanical strength of parts depends heavily on the FDM process parameters selected during part fabrication.  Little knowledge is available for the Polycarbonate (PC) material used in the FDM systems. This paper presents results of the experimental work on the effect of the FDM process parameters such as air gap, raster width, and raster angle on the tensile properties of PC.  Results show that FDM made parts have tensile strength in the range of 70 to 75 % of the moulded and extruded PC parts. The results will be valuable for different functional applications of FDM produced parts and assemblies",SLM or DMLS,0.5,0.56,0.53,Polymer,0.44,0.58,0.51
88,Texture control of 316L parts by modulation of the melt pool morphology in selective laser melting,"In this study, 316L parts were fabricated with the selective laser melting additive layer 
manufacturing process using unidirectional laser scan to control their texture. The melt pool 
shape, microstructure and texture of three different cubic samples were analyzed and quantified 
using optical microscopy and electron back-scattered diffraction. The samples scanned along 
the shielding gas flow direction were shown to exhibit shallow conduction melt pools together 
with a strong {110}<001> Goss texture along the laser scanning direction. The sample prepared 
with a laser scan perpendicular to the gas flow direction had deeper melt pools, with a weaker 
{110} <001> Goss texture in addition to a <100> fiber texture parallel to the scanning direction. 
Correlations were proposed between the melt-pool geometry and overlap and the resulting 
texture. The decrease of the melt pool depth was assumed to be linked to local attenuation of 
the laser beam effective power density transmitted to the powder bed.",SLM or DMLS,0.5,0.54,0.52,Ceramic,0.38,0.46,0.42000000000000004
89,"The AlSi10Mg samples produced by selective laser melting single track,densiﬁcation,microstructure and mechanical behavior","This   densiﬁcation   behavior   and   attendant   microstructural   characteristics   of  the   selective   laser   melting
(SLM)   processed   AlSi10Mg   alloy   affected   by   the  processing   parameters   were   systematically   investigated.
The   samples   with   a  single   track   were   produced   by   SLM   to   study   the  inﬂuences   of   laser   power   and   scan-
ning   speed   on  the   surface   morphologies   of  scan   tracks.   Additionally,   the   bulk   samples   were   produced   to
investigate   the  inﬂuence   of   the   laser   power,   scanning   speed,   and   hatch   spacing   on  the   densiﬁcation   level
and   the   resultant   microstructure.   The   experimental   results   showed   that   the  level   of   porosity   of   the   SLM-
processed  samples   was   signiﬁcantly   governed   by   energy   density   of   laser   beam   and   the   hatch   spacing.
The   tensile   properties   of   SLM-processed   samples   and   the   attendant   fracture   surface   can   be   enhanced   by
decreasing   the   level   of  porosity.   The   microstructure   of   SLM-processed   samples   consists   of   supersaturated
Al-rich   cellular   structure   along   with   eutectic   Al/Si   situated   at   the   cellular   boundaries.   The   Si  content   in   the
cellular   boundaries   increases   with   increasing   the   laser   power   and  decreasing   the   scanning   speed.   The
hardness   of  SLM-processed   samples   was   signiﬁcantly   improved   by   this   ﬁne   microstructure   compared
with   the   cast   samples.   Moreover,   the  hardness   of   SLM-processed   samples   at   overlaps   was   lower   than   the
hardness   observed   at   track   cores.",SLM or DMLS,0.59,0.54,0.565,Metal,0.41,0.39,0.4
90,The effect of density and feature size on mechanical properties of isostructural metallic foams produced by additive manufacturing,"Simple models describing the relationship between basic mechanical properties and the relative density of various types of porous metals (such as foams, sponges and lattice structures) are well established. Carefully evaluating these relationships experimentally is challenging, however, because of the stochastic structure of foams and the fact that it is difficult to systematically isolate density changes from variations in other factors, such as pore size and pore distribution. Here a new method for producing systematic sets of stochastic foams is employed based on electron beam melting (EBM) additive manufacturing (AM). To create idealised structures, structural blueprints were reverse-engineered by inverting X-ray computed tomographs of a randomly packed bed of glass beads. This three-dimensional structure was then modiﬁed by computer to create ﬁve foams of diﬀerent relative density qr, but otherwise consistent structure. Yield strength and Young’s modulus have been evaluated in compression tests and compared to existing models for foams. A power of 3 rather than a squared dependence of stiffness on relative density is found, which agrees with a recent model derived for replicated foams. A similar power of 3 relation was found for yield strength. Further analysis of the strength of nominally fully dense rods of different diameters built by EBM AM suggest that surface defects mean that the minimum size of features that can be created by EBM with similar strengths to machined samples is 1 mm",SLM or DMLS,0.59,0.66,0.625,Metal,0.53,0.61,0.5700000000000001
